Variable	Variable2
Emissions|OC|AFOLU	Emi_OC_AFO
Emissions|OC|Energy	Emi_OC_Ene
Emissions|OC|Energy|Demand|Industry	Emi_OC_Ene_Dem_Ind
Emissions|OC|Energy|Demand|Transportation	Emi_OC_Ene_Dem_Tra
Emissions|OC|Energy|Supply	Emi_OC_Ene_Sup
Emissions|Sulfur|AFOLU	Emi_Sul_AFO
Emissions|Sulfur|Energy	Emi_Sul_Ene
Emissions|Sulfur|Energy|Demand|Industry	Emi_Sul_Ene_Dem_Ind
Emissions|Sulfur|Energy|Demand|Transportation	Emi_Sul_Ene_Dem_Tra
Emissions|Sulfur|Energy|Supply	Emi_Sul_Ene_Sup
Emissions|VOC|AFOLU	Emi_VOC_AFO
Emissions|VOC|Energy	Emi_VOC_Ene
Emissions|VOC|Energy|Demand|Industry	Emi_VOC_Ene_Dem_Ind
Emissions|VOC|Energy|Demand|Transportation	Emi_VOC_Ene_Dem_Tra
Emissions|VOC|Energy|Supply	Emi_VOC_Ene_Sup
Final Energy|Industry	Fin_Ene_Ind
Final Energy|Industry|Solids|Biomass	Fin_Ene_Ind_SolidsBio
Final Energy|Industry|Solids|Coal	Fin_Ene_Ind_SolidsCoa
Final Energy|Residential and Commercial|Electricity	Fin_Ene_Res_and_Com_Ele
Final Energy|Residential and Commercial|Gases	Fin_Ene_Res_and_Com_Gas
Final Energy|Residential and Commercial|Liquids	Fin_Ene_Res_and_Com_Liq
Final Energy|Residential and Commercial|Solids	Fin_Ene_Res_and_Com_Solids
Final Energy|Residential and Commercial|Solids|Biomass	Fin_Ene_Res_and_Com_SolidsBio
Final Energy|Residential and Commercial|Solids|Coal	Fin_Ene_Res_and_Com_SolidsCoa
Final Energy|Transportation|Gases	Fin_Ene_Tra_Gas
Final Energy|Transportation|Liquids	Fin_Ene_Tra_Liq
Food Energy Supply	Foo_Ene_Sup
Investment|Energy Supply|CO2 Transport and Storage	Inv_Ene_Sup_CO2_Tra_and_Sto
Investment|Energy Supply|Electricity|Transmission and Distribution	Inv_Ene_Sup_Ele_Tra_and_Dis
Investment|Energy Supply|Heat	Inv_Ene_Sup_Heat
Investment|Energy Supply|Liquids	Inv_Ene_Sup_Liq
Land Cover|Built-up Area	Lan_Cov_Bui_Are
Land Cover|Cropland|Cereals	Lan_Cov_Cro_Cer
Land Cover|Forest|Natural Forest	Lan_Cov_Frs_Nat_Frs
Land Cover|Other Land	Lan_Cov_Oth_Lan
Price|Agriculture|Non-Energy Crops and Livestock|Index	Prc_Agr_NonEneCro_and_Liv_Ind
Price|Agriculture|Non-Energy Crops|Index	Prc_Agr_NonEneCro_Ind
Price|Secondary Energy|Liquids|Biomass	Prc_Sec_Ene_Liq_Bio
Trade|Primary Energy|Coal|Volume	Trd_Prm_Ene_Coa_Vol
Trade|Primary Energy|Gas|Volume	Trd_Prm_Ene_Gas_Vol
Trade|Primary Energy|Oil|Volume	Trd_Prm_Ene_Oil_Vol
Investment|Energy Supply|Electricity|Other	Inv_Ene_Sup_Ele_Oth
Secondary Energy|Heat|Geothermal	Sec_Ene_Heat_Geo
Forcing|Aerosol|BC	Frc_Aer_BC
Forcing|Aerosol|OC	Frc_Aer_OC
Forcing|Aerosol|Other	Frc_Aer_Oth
Forcing|Aerosol|Sulfate Direct	Frc_Aer_Sul_Dir
Forcing|Other	Frc_Oth
Agricultural Production|Energy|Crops	Agr_Pro_Ene_Cro
Agricultural Production|Non-Energy|Crops	Agr_Pro_NonEneCro
Agricultural Production|Non-Energy|Livestock	Agr_Pro_NonEneLiv
Food Demand	Foo_Dem
Food Demand|Crops	Foo_Dem_Cro
Food Demand|Livestock	Foo_Dem_Liv
Land Cover|Other Natural Land	Lan_Cov_Oth_Nat_Lan
Primary Energy|Geothermal	Prm_Ene_Geo
Primary Energy|Hydro	Prm_Ene_Hyd
Primary Energy|Solar	Prm_Ene_Solar
Primary Energy|Wind	Prm_Ene_Win
Carbon Sequestration|Land Use|Afforestation	Car_Seq_Lan_Use_Aff
Emissions|CO2|Energy|Supply|Electricity	Emi_CO2_Ene_Sup_Ele
Final Energy|Geothermal	Fin_Ene_Geo
Final Energy|Hydrogen	Fin_Ene_Hyd
Final Energy|Solar	Fin_Ene_Solar
Investment|Energy Efficiency	Inv_Ene_Eff
Investment|Energy Supply|Electricity|Biomass|w/ CCS	Inv_Ene_Sup_Ele_Bio_w_CCS
Investment|Energy Supply|Electricity|Biomass|w/o CCS	Inv_Ene_Sup_Ele_Bio_wo_CCS
Investment|Energy Supply|Electricity|Coal|w/ CCS	Inv_Ene_Sup_Ele_Coa_w_CCS
Investment|Energy Supply|Electricity|Coal|w/o CCS	Inv_Ene_Sup_Ele_Coa_wo_CCS
Investment|Energy Supply|Electricity|Gas|w/ CCS	Inv_Ene_Sup_Ele_Gas_w_CCS
Investment|Energy Supply|Electricity|Gas|w/o CCS	Inv_Ene_Sup_Ele_Gas_wo_CCS
Investment|Energy Supply|Electricity|Geothermal	Inv_Ene_Sup_Ele_Geo
Investment|Energy Supply|Electricity|Hydro	Inv_Ene_Sup_Ele_Hyd
Investment|Energy Supply|Electricity|Non-Biomass Renewables	Inv_Ene_Sup_Ele_NonBioRen
Investment|Energy Supply|Electricity|Nuclear	Inv_Ene_Sup_Ele_Nuc
Investment|Energy Supply|Electricity|Oil|w/o CCS	Inv_Ene_Sup_Ele_Oil_wo_CCS
Investment|Energy Supply|Electricity|Solar	Inv_Ene_Sup_Ele_Solar
Investment|Energy Supply|Electricity|Wind	Inv_Ene_Sup_Ele_Win
Investment|Energy Supply|Hydrogen|Fossil	Inv_Ene_Sup_Hyd_Fos
Investment|Energy Supply|Hydrogen|Other	Inv_Ene_Sup_Hyd_Oth
Final Energy|Solids|Biomass|Traditional	Fin_Ene_SolidsBio_Tra
Final Energy|Transportation|Freight	Fin_Ene_Tra_Fre
Primary Energy|Biomass|Electricity	Prm_Ene_Bio_Ele
Primary Energy|Biomass|Electricity|w/o CCS	Prm_Ene_Bio_Ele_wo_CCS
Primary Energy|Biomass|Modern	Prm_Ene_Bio_Mod
Secondary Energy|Liquids|Biomass|w/o CCS	Sec_Ene_Liq_Bio_wo_CCS
Secondary Energy|Solids	Sec_Ene_Solids
Primary Energy|Biomass|Electricity|w/ CCS	Prm_Ene_Bio_Ele_w_CCS
Secondary Energy|Liquids|Biomass|w/ CCS	Sec_Ene_Liq_Bio_w_CCS
Capacity|Electricity|Other	Cap_Ele_Oth
Cumulative Capacity|Electricity|Biomass|w/o CCS	Cum_Cap_Ele_Bio_wo_CCS
Cumulative Capacity|Electricity|Geothermal	Cum_Cap_Ele_Geo
Cumulative Capacity|Electricity|Hydro	Cum_Cap_Ele_Hyd
Cumulative Capacity|Electricity|Wind|Onshore	Cum_Cap_Ele_Win_Ons
Emissions|HFC|HFC245fa	Emissions_HFC_HFC245fa
Final Energy|Non-Energy Use	Fin_Ene_NonEneUse
Final Energy|Non-Energy Use|Oil	Fin_Ene_NonEneUse_Oil
Food Energy Supply|Livestock	Foo_Ene_Sup_Liv
Investment|Energy Supply|Electricity|Biomass	Inv_Ene_Sup_Ele_Bio
Investment|Energy Supply|Electricity|Coal	Inv_Ene_Sup_Ele_Coa
Investment|Energy Supply|Electricity|Electricity Storage	Inv_Ene_Sup_Ele_Ele_Sto
Investment|Energy Supply|Electricity|Gas	Inv_Ene_Sup_Ele_Gas
Investment|Energy Supply|Electricity|Oil	Inv_Ene_Sup_Ele_Oil
Investment|Energy Supply|Electricity|Oil|w/ CCS	Inv_Ene_Sup_Ele_Oil_w_CCS
Investment|Energy Supply|Extraction|Coal	Inv_Ene_Sup_Ext_Coa
Investment|Energy Supply|Extraction|Gas	Inv_Ene_Sup_Ext_Gas
Investment|Energy Supply|Extraction|Oil	Inv_Ene_Sup_Ext_Oil
Investment|Energy Supply|Liquids|Biomass	Inv_Ene_Sup_Liq_Bio
Investment|Energy Supply|Liquids|Oil	Inv_Ene_Sup_Liq_Oil
Population|Risk of Hunger	Pop_Ris_of_Hun
Price|Agriculture|Corn|Index	Prc_Agr_Cor_Ind
Price|Agriculture|Soybean|Index	Prc_Agr_Soy_Ind
Price|Agriculture|Wheat|Index	Prc_Agr_Whe_Ind
Price|Final Energy|Residential|Electricity	Prc_Fin_Ene_Res_Ele
Price|Final Energy|Residential|Gases|Natural Gas	Prc_Fin_Ene_Res_Gas_Nat_Gas
Price|Final Energy|Residential|Liquids|Biomass	Prc_Fin_Ene_Res_Liq_Bio
Price|Final Energy|Residential|Liquids|Oil	Prc_Fin_Ene_Res_Liq_Oil
Price|Final Energy|Residential|Solids|Coal	Prc_Fin_Ene_Res_SolidsCoa
Price|Secondary Energy|Liquids	Prc_Sec_Ene_Liq
Primary Energy|Biomass|Traditional	Prm_Ene_Bio_Tra
Primary Energy|Coal|Electricity	Prm_Ene_Coa_Ele
Primary Energy|Coal|Electricity|w/ CCS	Prm_Ene_Coa_Ele_w_CCS
Primary Energy|Coal|Electricity|w/o CCS	Prm_Ene_Coa_Ele_wo_CCS
Primary Energy|Gas|Electricity	Prm_Ene_Gas_Ele
Primary Energy|Gas|Electricity|w/ CCS	Prm_Ene_Gas_Ele_w_CCS
Primary Energy|Gas|Electricity|w/o CCS	Prm_Ene_Gas_Ele_wo_CCS
Secondary Energy|Electricity|Solar|PV	Sec_Ene_Ele_SolarPV
Trade|Primary Energy|Biomass|Volume	Trd_Prm_Ene_Bio_Vol
Trade|Secondary Energy|Electricity|Volume	Trd_Sec_Ene_Ele_Vol
Trade|Secondary Energy|Liquids|Biomass|Volume	Trd_Sec_Ene_Liq_Bio_Vol
Final Energy|Non-Energy Use|Gas	Fin_Ene_NonEneUse_Gas
Forcing|Aerosol|Black and Organic Carbon	Frc_Aer_Bla_and_Org_Car
Forcing|Aerosol|Cloud Indirect	Frc_Aer_Clo_Ind
Carbon Sequestration|Direct Air Capture	Car_Seq_Dir_Air_Cap
Carbon Sequestration|Enhanced Weathering	Car_Seq_Enh_Wea
Carbon Sequestration|Land Use|Biochar	Car_Seq_Lan_Use_Bio
Carbon Sequestration|Land Use|Soil Carbon Management	Car_Seq_Lan_Use_Soi_Car_Man
Forcing|Montreal Gases	Frc_Mon_Gas
Final Energy|Transportation|Hydrogen	Fin_Ene_Tra_Hyd
Secondary Energy|Gases|Biomass	Sec_Ene_Gas_Bio
Secondary Energy|Gases|Coal	Sec_Ene_Gas_Coa
Secondary Energy|Hydrogen	Sec_Ene_Hyd
Secondary Energy|Hydrogen|Biomass	Sec_Ene_Hyd_Bio
Secondary Energy|Hydrogen|Biomass|w/ CCS	Sec_Ene_Hyd_Bio_w_CCS
Secondary Energy|Hydrogen|Biomass|w/o CCS	Sec_Ene_Hyd_Bio_wo_CCS
Secondary Energy|Hydrogen|Electricity	Sec_Ene_Hyd_Ele
Secondary Energy|Liquids|Coal	Sec_Ene_Liq_Coa
Secondary Energy|Liquids|Coal|w/ CCS	Sec_Ene_Liq_Coa_w_CCS
Secondary Energy|Liquids|Coal|w/o CCS	Sec_Ene_Liq_Coa_wo_CCS
Secondary Energy|Liquids|Gas	Sec_Ene_Liq_Gas
Secondary Energy|Liquids|Gas|w/ CCS	Sec_Ene_Liq_Gas_w_CCS
Secondary Energy|Liquids|Gas|w/o CCS	Sec_Ene_Liq_Gas_wo_CCS
Capacity|Electricity|Ocean	Cap_Ele_Oce
Capacity|Electricity|Solar|CSP	Cap_Ele_SolarCSP
Capacity|Electricity|Wind|Offshore	Cap_Ele_Win_Off
Cumulative Capacity|Electricity|Solar|CSP	Cum_Cap_Ele_SolarCSP
